kanji;hiragana;meaning;chapter;level;wordClass;importantity
～から来ました;～からきました;Datang dari…..;Bab01;n5;Unclassified;1
～さん;～さん;Saudara……. (Sopan ke lebih tua);Bab01;-;Unclassified;1
～ちゃん;～ちゃん;Panggilan untuk anak laki/perempuan;Bab01;-;Unclassified;1
～歳;～さい;Tahun….. ( Umur );Bab01;n3;Unclassified;1
～人;～じん;Orang……. ( Orang dari negara....);Bab01;n5;Unclassified;1
あなた;あなた;Anda;Bab01;-;Unclassified;1
あの人;あのひと;Orang itu (biasa);Bab01;n5;Unclassified;1
あの方;あのかた;Orang itu / Beliau (sopan);Bab01;n4;Unclassified;1
アメリカ;アメリカ;Amerika Serikat;Bab01;-;Unclassified;1
いいえ;いいえ;Tidak;Bab01;-;Unclassified;1
イギリス;イギリス;Inggris;Bab01;-;Unclassified;1
イタリア;イタリア;Italia;Bab01;-;Unclassified;1
インド;インド;India;Bab01;-;Unclassified;1
インドネシア;インドネシア;Indonesia;Bab01;-;Unclassified;1
おいくつ;おいくつ;Umur berapa?(sopan);Bab01;-;Unclassified;1
お名前は;おなまえは;Nama anda siapa?;Bab01;n5;Unclassified;1
タイ;タイ;Thailand;Bab01;-;Unclassified;1
だれ;だれ;Siapa (biasa);Bab01;-;Unclassified;1
ドイツ;ドイツ;Jerman;Bab01;-;Unclassified;1
どうぞよろしくお願します;どうぞよろしくおねがいします;Salam Kenal ( Terimalah perkenalan saya );Bab01;n3;Unclassified;1
どなた;どなた;Siapa (sopan);Bab01;-;Unclassified;1
はい;はい;Iya;Bab01;-;Unclassified;1
はじめまして;はじめまして;Perkenalkan;Bab01;-;Unclassified;1
ブラジル;ブラジル;Brazil;Bab01;-;Unclassified;1
医者;いしゃ;Dokter;Bab01;n4;Unclassified;1
何歳;なんさい;Umur berapa?(biasa);Bab01;n3;Unclassified;1
会社員;かいしゃいん;Pegawai / Karyawan perusahaan;Bab01;n4;Unclassified;1
学生;がくせい;Siswa,murid;Bab01;n5;Unclassified;1
韓国;かんこく;Korea Selatan;Bab01;-;Unclassified;1
教師;きょうし;Guru,dosen (dipakai untuk kalangan sendiri);Bab01;n3;Unclassified;1
銀行員;ぎんこういん;Pegawai bank;Bab01;n4;Unclassified;1
研究者;けんきゅうしゃ;Peneliti;Bab01;n4;Unclassified;1
私;わたし;Saya;Bab01;n4;Unclassified;1
失礼ですが;しつれいですが;Permisi;Bab01;n3;Unclassified;1
