id;kanji;hiragana;romaji;meaning;level;importinity;chapter
ir-a1-01-001;おはよう（ございます）;おはよう（ございます）;ohayou(gozaimasu);Selamat pagi.;-;1;bab-01
ir-a1-01-002;こんにちは;こんにちは;konnichiha;Selamat siang.;-;1;bab-01
ir-a1-01-003;こんばんは;こんばんは;konbanha;Selamat malam.;-;1;bab-01
ir-a1-01-004;じゃあ、また;じゃあ、また;jaa,mata;Sampai jumpa.;-;1;bab-01
ir-a1-01-005;おやすみ（なさい）;おやすみ（なさい）;oyasumi(nasai);Selamat tidur,  Selamat beristirahat.;-;1;bab-01
ir-a1-01-008;お疲れさま（でした）;おつかれさま（でした）;otsukaresama(deshita);Sampai jumpa, terima kasih atas kerja kerasnya.;N3;1;bab-01
ir-a1-01-010;あめ;あめ;ame;permen;-;1;bab-01
ir-a1-01-014;（どうも）ありがとう;（どうも）ありがとう;(doumo)arigatou;Terima kasih banyak.;-;1;bab-01
ir-a1-01-016;落としましたよ;おとしましたよ;otoshimashitayo;Anda menjatuhkannya.;N3;1;bab-01
ir-a1-01-021;ごめん;ごめん;gomen;Maaf.;-;1;bab-01
ir-a1-01-022;痛い！;いたい！;itai!;Aduh!;N3;1;bab-01
ir-a1-01-023;おめでとうございます;おめでとうございます;omedetougozaimasu;Selamat!;-;1;bab-01
ir-a1-01-024;わかりました;わかりました;wakarimashita;Saya mengerti.;-;1;bab-01
ir-a1-02-002;もういちど;もういちど;mouichido;sekali lagi;-;1;bab-02
ir-a1-02-005;在留カード;ざいりゅうカード;zairyuukaado;kartu izin tinggal;N3;1;bab-02
ir-a1-02-009;わかりません;わかりません;wakarimasen;Saya tidak mengerti/paham.;-;1;bab-02
ir-a1-02-010;お願いします;おねがいします;onegaishimasu;Tolong.;N3;1;bab-02
ir-a1-02-011;言ってください;いってください;ittekudasai;Tolong katakan/ucapkan.;N4;1;bab-02
ir-a1-02-013;書いてください;かいてください;kaitekudasai;Tolong tulis.;N5;1;bab-02
ir-a1-02-014;わかりました;わかりました;wakarimashita;Saya mengerti/paham.;-;1;bab-02
ir-a1-02-015;0;ゼロ;zero;nol;-;1;bab-02
ir-a1-02-016;1;いち;ichi;satu;-;1;bab-02
ir-a1-02-017;2;に;ni;dua;-;1;bab-02
ir-a1-02-018;3;さん;san;tiga;-;1;bab-02
ir-a1-02-019;4;よん;yon;empat;-;1;bab-02
ir-a1-02-020;5;ご;go;lima;-;1;bab-02
ir-a1-02-021;6;ろく;roku;enam;-;1;bab-02
ir-a1-02-022;7;なな;nana;tujuh;-;1;bab-02
ir-a1-02-023;8;はち;hachi;delapan;-;1;bab-02
ir-a1-02-024;9;きゅう;kyuu;sembilan;-;1;bab-02
ir-a1-02-025;10;じゅう;juu;sepuluh;-;1;bab-02
ir-a1-02-028;中国語;ちゅうごくご;chuugokugo;bahasa Mandarin;N5;1;bab-02
ir-a1-02-029;インドネシア語;インドネシアご;indoneshiago;bahasa Indonesia;N5;1;bab-02
ir-a1-02-032;お客さん;おきゃくさん;okyakusan;pelanggan, pembeli (digunakan untuk memanggil pelanggan yang tidak diketahui namanya);N3;1;bab-02
ir-a1-02-034;できますか？;できますか？;dekimasuka？;Apakah Anda bisa?;-;1;bab-02
ir-a1-02-040;日本語で;にほんごで;nihongode;dalam bahasa Jepang;N5;1;bab-02
ir-a1-02-044;スマホ;スマホ;sumaho;ponsel pintar;-;1;bab-02
ir-a1-02-045;免許証;めんきょしょう;menkyoshou;surat izin, lisensi;N1;1;bab-02
ir-a1-02-046;蚊;か;ka;nyamuk;N1;1;bab-02
ir-a1-02-048;何と言いますか？;なんといいますか？;nantoiimasuka？;Apakah penyebutannya?;N4;1;bab-02
ir-a1-02-049;え？;え？;e？;Hah?;-;1;bab-02
ir-a1-02-050;そうそう;そうそう;sousou;Ya, ya... Benar.;-;1;bab-02
ir-a1-03-001;ミャンマー;ミャンマー;myanmaa;Myanmar;-;1;bab-03
ir-a1-03-009;（どうぞ）よろしくお願いします;（どうぞ）よろしくおねがいします;(douzo)yoroshikuonegaishimasu;Senang berkenalan dengan Anda.;N3;1;bab-03
ir-a1-03-012;出身 / ご出身;しゅっしん / ごしゅっしん;shusshin / goshusshin;daerah asal, daerah asal (orang lain);N1;1;bab-03
ir-a1-03-014;ハノイ;ハノイ;hanoi;Hanoi;-;1;bab-03
ir-a1-03-017;フエ;フエ;fue;Hue;-;1;bab-03
ir-a1-03-018;カンボジア;カンボジア;kanbojia;Kamboja;-;1;bab-03
ir-a1-03-019;みなさん;みなさん;minasan;Anda semua;-;1;bab-03
